?,Wordform in Mòoré (high tones marked),Morph. breakdown (high tones marked),LaTex Spelling (with breakdown),Gloss,Latex Gloss,POS (webonary categories),Spelling variants,Teo/Pacchiaroti spelling,Link of SIL Spelling,SIL spelling,Tonal Pattern in SIL,FLEX Spelling,Recording,Translation / Meaning,Source(s) & Page #,Questions,Examples/Notes,
,bédré,béd-ré ,b\'ed-r\'e ,big-cl,big-\cl{},adj,bedre,"béd-rè (big-cl5), bɛ́d-à (big-cl6)",https://www.webonary.org/moore/gf2ce1217-5d26-4882-9641-6a8f9570b225/?lang=en,bedre,é-é,bédré,,large,Nikiema 86,,Plural = bɛda,
,bɩ́,bɩ́,b\'{\textiota},or,or,conj,bɩ,,https://www.webonary.org/moore/g0955fd5d-b0e3-4780-ac97-5d208cf29fdb/?lang=en,bɩ,ɩ́,,,or else (with alternatives),,,banan piiga bɩ n yɩɩde (banana ten or exceeding) = at least 10 bananas,
,biis,bii-s,bii-s,grain,grain,n,bɩɩs,,https://www.webonary.org/moore?s=biiga&search=Search&key=&tax=-1&search_options_set=1&match_whole_words=1&displayAdvancedSearchName=0&lang=en,biisi,,,https://drive.google.com/file/d/1x9ph5b5OKzZNtw1RQ9p0xc-Qb2nKLq6B/view?usp=sharing,"piece, unit",,,,
,bila,bila,bila,small,small,noun,bila,,https://www.webonary.org/moore/g6eee4a5f-ebdf-4087-a9da-11aa5c2ce58f/?lang=en,bila ,í,,,part of a whole,Nikiema 112,,"Plural = bi, Alexandre p. 57 notes that -bila can be used as a way of forming diminutives. See also glossary in Alexandre under ""petit"".",
,bilfũ,bilfũ,bilf\~u,small,small,adj,bilifu,,https://www.webonary.org/moore/g5d79b41b-3d80-42a2-8a55-403848e7f6cd/?lang=en,bilfu ,í,,,small in size,Nikiema 113,,Bilfri (adverb) = a little bit,
,botó,botó,bot\'o,like.that,like.that,adv,"boto, booto",,https://www.webonary.org/moore/gaeda7362-a05c-4bec-91d4-73bcd417ac14/?lang=en,boto,ò-ó,,,like this,"SIL 50, SIL 370",,,
,dá,dá,d\'a,past,\past{},aux,"da, ra, rá, rag, dag",,https://www.webonary.org/moore/g759a2032-d13c-4ec5-9ee5-8616951922a6/?lang=en,da,á,,,PAST [or subjunctive/irrealis; Peterson 1971 p. 181],Vanderelst 5,,,
,da,da,da,buy,buy,v,ra,,,da,à,,,buy,,,,
,damba,damba,damba,amount,amount,n,,,,,,,,,,,,
,dá,dá,d\'a,want,want,v,,,,da,á,,,want,,,,
,dáta,dá-t-a,d\'a-t-a,want-impf-aff,want-\impf{}-\aff{},v,"rate, datã, data",,https://www.webonary.org/moore/ga0e6da98-2760-4d1c-981c-c2614a97eca1/?lang=en,data,,dátà,,want,SIL 63,,IMPERF+AFF (rat = want+IMPERF),
,dẽnda,dẽnda,d\~enda,that.of,that.of,pron.rel,,,,,,,,possession,,,,
,diimɛ,dii-mɛ,dii-m\textipa{E},eat-phb,eat-\me{},n,diimẽ,,,,,,,,,,,
,f,f,f,2sg.nom,2\sg{}.\nom{},pron,,,https://www.webonary.org/moore/g1ae6a12e-7777-4317-946b-d9e4791f3b47/?lang=en,f,,,,,,,,
,fo,fo,fo,2sg.nom,2\sg{}.\nom{},pron,,,https://www.webonary.org/moore/gf6f6dbfb-ecdc-4ea1-9e20-4813d15e29f6/?lang=en,fo,ò,fò (2sg.nom),,,,,,
,fom,fom,fom,2sg,2\sg{},pron,,,https://www.webonary.org/moore/ga5fcb926-a17f-4560-9a0d-0a72daf647d8/?lang=en,foom,ó,,,,,,,
,fóó,fóó,fóó,2sg.acc,2sg.\acc{},pron,fo,,https://www.webonary.org/moore/g6fd8ff4f-f1eb-409d-8acb-640835d7fe0a/?lang=en,foo,ó,fóó (2sg.obj),,you,Lehr 3,,fóó (2sg.obj) according to Teo & Pacchiarotti,
,fãã,fãã,f\~a\~a,all,all,det,"fãa, fãã, fãan",f\'\~{a},https://www.webonary.org/moore/g96a0d9bf-c5e9-411c-ab90-6ffe4ac040a7?lang=en,fãa,á,,,"all, every, entire","Vanderelst 11, Lehr 311",Is this the same thing as fããn or fan?,,
,frɛɛza,frɛɛza,fr\textipa{E}\textipa{E}za,berry,berry,n,,,,,,,,strawberry,,,,
,kaa,ka-a,ka-a,build-aff,build-\aff{},v,ka,,,,,,,to build,,,,
,ká,ká,ká,not,not,adv,,,https://www.webonary.org/moore/g0cd0100d-f7dc-41f7-a1af-ab693eb2104f/?lang=en,ka,á,,,,,,,
,ye,ye,ye,neg,\neg{},aux,,,https://www.webonary.org/moore/g0cd0100d-f7dc-41f7-a1af-ab693eb2104f/?lang=en,ye,é,yè,,,,,,
,ká...yé,ká...yé,ká...y\'e,not...neg,not...\neg{},aux,"ka...ye, ká...ye",ká (not),https://www.webonary.org/moore/g0cd0100d-f7dc-41f7-a1af-ab693eb2104f/?lang=en,ka...ye,á-é,,,negative marker,"Vanderelst 11, Lehr 30",,,
,kámbã,kámbã,kámb\~a,children,children,n,"kamba, koamba",,https://www.webonary.org/moore/gf5651db0-590e-474a-91c0-acb0e37a0f21/?lang=en,kamba,à-á,kámbà,,children,SIL 135,,,
,kẽng-kẽnga,kẽng-kẽnga,k\~eng-k\~enga,big-big,big-big,adj,kêng-kênga,,,,,,,,,,,
,kẽng,kẽng,k\~eng,big,big,adj,"king, kêng",,,,,,,,,,,
,kẽnga,kẽnga,k\~enga,big,big,adj,king ga,,,,,,,,,,,
,kibgi,kibgi,kibgi,build,build,v,kibgi,,https://www.webonary.org/moore/g6f419c00-c36e-47e5-ab40-87f1e26bf067/?lang=en,kibgi,ì,,,"to build, to construct",SIL 162,,,
,kidg,kidg,kidg,small,small,adj,,,https://www.webonary.org/moore/gb0399b74-5d43-4a62-b6f2-b0761b18490e/?lang=en,,,,,,,,,
,kidga,kidga,kidga,small,small,adj,,,https://www.webonary.org/moore/g826df689-e890-41e6-92b9-8a61f1bbbadc/?lang=en,kidga,,,,,,,,
,kɔ̃,kɔ̃,k\~{\textopeno},give,give,v,kõ,"kɔ̃́ (give), kɔ̃́-ɔ̀̃ (give-aff)",https://www.webonary.org/moore/g467bbcd6-4d35-4a45-be7a-a295c8e70c2a/?lang=en,kõ,ò,,,"to give, to present",Rattray 60,Could this be the same as kõn? or kon?,Conflicting info about the tone,
,koelmã,koel-m-ã,koelm\~a,shortness-defn-aff,shortness-\defn{}-\aff{},n,"koélma, koelma",,,koelma,,,,,,,,
,koɛɛga,koɛɛga,ko\textipa{E}\textipa{E}ga,short,short,adj,"koɛɛga, kɔɛga, koega, koɛga",,https://www.webonary.org/moore/ga7bb748a-365e-47e2-90c9-d892b006e65d/?lang=en,koɛɛga ,ò-á,,,"small, short",SIL 180,"Is the ""a"" the affirmative marker? Or part of a class marker? Or is the ""g"" a class marker?",Plural is koeese,
,koɛɛg,koɛɛg,ko\textipa{E}\textipa{E}g,short,short,adj,"kɔɛg, koeg, koeng",,,,,,,,,,,
,koglgã,kogl-g-ã,kogl-g-\~a,boat-cl-defn,boat-\cl{}-\defn{},n,koglga,,,,,,,,,,,
,koglg,kogl-g,kogl-g,boat-cl,boat-\cl{},n,kogl,,,,,,,,,,,
